row_id_i,row_id_j,point_id_i,point_id_j,k_i,wq_i,k_j,wq_j,d_theta,both_k0,exactly_one_k0,both_finite_k,parameter_separation_category,raw_l2_ringdown,d_O_ringdown,raw_l2_ringdown_plus_photon_geometry,d_O_ringdown_plus_photon_geometry,improvement_ratio,delta_dO
0,1,k0p000000000_wqm0p712500000,k0p000000000_wqm0p690000000,0.0,-0.7125,0.0,-0.69,0.08571428571428599,True,False,False,lt_0.10,0.0,0.0,0.0,0.0,,0.0
0,2,k0p000000000_wqm0p712500000,k0p000000000_wqm0p666666667,0.0,-0.7125,0.0,-0.6666666666666666,0.17460317460317482,True,False,False,0.10_to_0.25,0.0,0.0,0.0,0.0,,0.0
0,3,k0p000000000_wqm0p712500000,k0p000000000_wqm0p640000000,0.0,-0.7125,0.0,-0.64,0.2761904761904762,True,False,False,0.25_to_0.50,0.0,0.0,0.0,0.0,,0.0
0,4,k0p000000000_wqm0p712500000,k0p000000000_wqm0p610000000,0.0,-0.7125,0.0,-0.61,0.3904761904761906,True,False,False,0.25_to_0.50,0.0,0.0,0.0,0.0,,0.0
0,5,k0p000000000_wqm0p712500000,k0p000000000_wqm0p580000000,0.0,-0.7125,0.0,-0.58,0.504761904761905,True,False,False,0.50_to_0.75,0.0,0.0,2.2056741579572935e-13,2.6299058310198163e-12,,2.6299058310198163e-12
0,6,k0p000000000_wqm0p712500000,k0p000000000_wqm0p550000000,0.0,-0.7125,0.0,-0.55,0.619047619047619,True,False,False,0.50_to_0.75,0.0,0.0,0.0,0.0,,0.0
0,7,k0p000000000_wqm0p712500000,k0p000000000_wqm0p525000000,0.0,-0.7125,0.0,-0.525,0.7142857142857143,True,False,False,0.50_to_0.75,0.0,0.0,0.0,0.0,,0.0
0,8,k0p000000000_wqm0p712500000,k0p000000000_wqm0p500000000,0.0,-0.7125,0.0,-0.5,0.8095238095238095,True,False,False,ge_0.75,0.0,0.0,0.0,0.0,,0.0
0,9,k0p000000000_wqm0p712500000,k0p000000000_wqm0p475000000,0.0,-0.7125,0.0,-0.475,0.9047619047619049,True,False,False,ge_0.75,0.0,0.0,0.0,0.0,,0.0
0,10,k0p000000000_wqm0p712500000,k0p000000000_wqm0p450000000,0.0,-0.7125,0.0,-0.45,1.0,True,False,False,ge_0.75,0.0,0.0,0.0,0.0,,0.0
0,11,k0p000000000_wqm0p712500000,k0p000250000_wqm0p712500000,0.0,-0.7125,0.00025,-0.7125,0.1,False,True,False,0.10_to_0.25,0.0016489276410857124,0.11787602743727088,0.14734583497025044,0.18850174852419893,1.5991525386662047,0.07062572108692805
0,12,k0p000000000_wqm0p712500000,k0p000250000_wqm0p690000000,0.0,-0.7125,0.00025,-0.69,0.13170777796132715,False,True,False,0.10_to_0.25,0.0016441784797360047,0.1135129562626638,0.11630425631019493,0.1479276808103928,1.3031788236410202,0.03441472454772898
0,13,k0p000000000_wqm0p712500000,k0p000250000_wqm0p666666667,0.0,-0.7125,0.00025,-0.6666666666666666,0.20121199909922557,False,True,False,0.10_to_0.25,0.0016313976625376841,0.1091053421315245,0.09082683404632942,0.11577919815140603,1.0611689206916772,0.006673856019881533
0,14,k0p000000000_wqm0p712500000,k0p000250000_wqm0p640000000,0.0,-0.7125,0.00025,-0.64,0.29373658120554547,False,True,False,0.25_to_0.50,0.0016084274485082008,0.10420130813097138,0.06830523527606762,0.08849713698721237,0.8492900768191862,-0.015704171143759008
0,15,k0p000000000_wqm0p712500000,k0p000250000_wqm0p610000000,0.0,-0.7125,0.00025,-0.61,0.40307772864399033,False,True,False,0.25_to_0.50,0.0015737369974631469,0.09884412055368356,0.049428142486242395,0.06682683407645316,0.6760830457301567,-0.0320172864772304
0,16,k0p000000000_wqm0p712500000,k0p000250000_wqm0p580000000,0.0,-0.7125,0.00025,-0.58,0.514572230594371,False,True,False,0.50_to_0.75,0.0015315212502605832,0.09365124329825901,0.03567556920504528,0.052109065375006036,0.5564161621330526,-0.041542177923252974
0,17,k0p000000000_wqm0p712500000,k0p000250000_wqm0p550000000,0.0,-0.7125,0.00025,-0.55,0.6270725274228859,False,True,False,0.50_to_0.75,0.0014834499752273147,0.08862211200373532,0.025705264099251477,0.042293639648879826,0.47723574503727917,-0.046328472354855495
0,18,k0p000000000_wqm0p712500000,k0p000250000_wqm0p525000000,0.0,-0.7125,0.00025,-0.525,0.7212517463636765,False,True,False,0.50_to_0.75,0.0014399619996192704,0.08455771020524974,0.019555528075075327,0.03670774093669023,0.4341146519647742,-0.047849969268559514
0,19,k0p000000000_wqm0p712500000,k0p000250000_wqm0p500000000,0.0,-0.7125,0.00025,-0.5,0.8156768957043843,False,True,False,ge_0.75,0.0013941318142934743,0.08061032708256607,0.014892305078980138,0.03271624915232268,0.40585679696861515,-0.047894077930243396
0,20,k0p000000000_wqm0p712500000,k0p000250000_wqm0p475000000,0.0,-0.7125,0.00025,-0.475,0.9102714453987834,False,True,False,ge_0.75,0.0013465897502178308,0.07678200609276284,0.01137192800703091,0.02978575808947166,0.38792628123686324,-0.04699624800329118
0,21,k0p000000000_wqm0p712500000,k0p000250000_wqm0p450000000,0.0,-0.7125,0.00025,-0.45,1.004987562112089,False,True,False,ge_0.75,0.0012978839776564075,0.07307467509563179,0.008726700604833767,0.027537965346796207,0.37684690777971525,-0.04553670974883558
0,22,k0p000000000_wqm0p712500000,k0p000500000_wqm0p712500000,0.0,-0.7125,0.0005,-0.7125,0.2,False,True,False,0.10_to_0.25,0.0032978552821711095,0.2357520548745209,0.29732547196327386,0.3601362823739428,1.527606122311958,0.1243842274994219
0,23,k0p000000000_wqm0p712500000,k0p000500000_wqm0p690000000,0.0,-0.7125,0.0005,-0.69,0.2175935173103975,False,True,False,0.10_to_0.25,0.0032883569594714477,0.22702591252528412,0.23412334117224157,0.2855559188675087,1.257812007850452,0.05853000634222458
0,24,k0p000000000_wqm0p712500000,k0p000500000_wqm0p666666667,0.0,-0.7125,0.0005,-0.6666666666666666,0.2654925019308582,False,True,False,0.25_to_0.50,0.0032627953250753696,0.21821068426304546,0.18257148084190514,0.2255422617590161,1.0335986183294887,0.0073315774959706315
0,25,k0p000000000_wqm0p712500000,k0p000500000_wqm0p640000000,0.0,-0.7125,0.0005,-0.64,0.34100026266606015,False,True,False,0.25_to_0.50,0.0032168548970164753,0.2084026162619487,0.13713087022512416,0.1738373443121932,0.834141852104634,-0.034565271949755505
0,26,k0p000000000_wqm0p712500000,k0p000500000_wqm0p610000000,0.0,-0.7125,0.0005,-0.61,0.4387159164297533,False,True,False,0.25_to_0.50,0.0031474739949259715,0.19768824110734523,0.09912948216335594,0.13218959459874277,0.6686770738526804,-0.06549864650860246
0,27,k0p000000000_wqm0p712500000,k0p000500000_wqm0p580000000,0.0,-0.7125,0.0005,-0.58,0.5429406786186374,False,True,False,0.50_to_0.75,0.003063042500521545,0.1873024865965363,0.07149210748520977,0.10357443574718178,0.5529795019234791,-0.08372805084935453
0,28,k0p000000000_wqm0p712500000,k0p000500000_wqm0p550000000,0.0,-0.7125,0.0005,-0.55,0.6505535755404976,False,True,False,0.50_to_0.75,0.002966899950454324,0.17724422400745493,0.0514813844101154,0.08432086897574172,0.4757326759048304,-0.09292335503171321
